Datetime,Tweet Id,Text,Username,user_mention,followersCount,listedCount
2020-06-07 23:59:58+00:00,1269781177596104704,"Who still doesn't get it? 🤔

#BlackLivesMatter is
N O T about hating white people or the American flag!

#joinUs
#changeyourthinking
#loveoneanother
#getitdone
#Justice https://t.co/BNTiWR1mnl",IamGabrisan,,1548,48
2020-06-07 23:59:58+00:00,1269781177184944129,Watching @NXTTakeOver  #InYourHouse and I love @RealKeithLee #BlackLivesMatter shorts!,afields0317,"NXTTakeOver, RealKeithLee",52,0
2020-06-07 23:59:58+00:00,1269781176434200576,"@realDonaldTrump Obama built it, you just took credit for it. #BlackLivesMatter #WorstPresidentEver",Cooper33Cooper,realDonaldTrump,38,0
2020-06-07 23:59:57+00:00,1269781173896646656,I’m one of the buyers of your book- part of these stats- and I’m encouraged people are taking this moment seriously. #BlackLivesMatter #antiracist https://t.co/8Ini2ITaTz,bethlinas,,14574,629
2020-06-07 23:59:57+00:00,1269781173661769735,@Richek @KropotkinPetyr Crispus Attucks shudders #SayTheirNames #BlackLivesMatter,lpn_to_mba,"Richek, KropotkinPetyr",358,0
2020-06-07 23:59:56+00:00,1269781169882759177,"@thehill The American Spring, which started with the killing of #GeorgeFlyod, moved to #Mexico and then #Britain, and he will certainly move to #European countries and #Russia is not far from all this.
#BlackLivesMatter https://t.co/vvhiGqTx90",MO_DOGOML,thehill,617,2
2020-06-07 23:59:56+00:00,1269781166032388098,"@SeanRossSapp Well thank god, Keith Lee is winning this.
#BlackLivesMatter",DPREvans,SeanRossSapp,12,0
2020-06-07 23:59:55+00:00,1269781164027293696,"“Unity As One Stand Together” Time for a change. Be the change. #blacklivesmatter ✊🏿✊🏾✊✊🏽✊🏼✊🏻 .
.
.
.
.
.
.
.
#nojusticenopeace #together 
#unity #powerofhope #poweroflove #standtogether #hope #love… https://t.co/954eX2jzjb",ksisterslove,,10,0
2020-06-07 23:59:54+00:00,1269781159841370113,"Together with my neighbors, #westandwithyou #blacklivesmatter @ Ault Park Cincinnati https://t.co/wzPEmIEpY2",drdecker03,,141,7
2020-06-07 23:59:53+00:00,1269781156863643648,Shout outs to Keith Lee for his Tights. #BlackLivesMatter,onefallpaul,,513,4
