source,target,content
IamGabrisan,IamGabrisan,tweet
afields0317,NXTTakeOver,non tweet
afields0317,RealKeithLee,non tweet
Cooper33Cooper,realDonaldTrump,non tweet
bethlinas,bethlinas,tweet
lpn_to_mba,Richek,non tweet
lpn_to_mba,KropotkinPetyr,non tweet
MO_DOGOML,thehill,non tweet
DPREvans,SeanRossSapp,non tweet
ksisterslove,ksisterslove,tweet
onefallpaul,onefallpaul,tweet
jennellenn,BTS_twt,non tweet
CapeMayBrewCo,CapeMayBrewCo,tweet
anahugo_,tariqnasheed,non tweet
kpoppowerbr,kpoppowerbr,tweet
FairOneForest,FairOneForest,tweet
labkivecord,BTS_twt,non tweet
Maggs_62,Maggs_62,tweet
shotsbybryan,shotsbybryan,tweet
Heelsandbrushes,Heelsandbrushes,tweet
SkilledzAssasin,SkilledzAssasin,tweet
ivyxonce,ivyxonce,tweet
efabLiz,efabLiz,tweet
TheAlexRestrepo,carlyraejepsen,non tweet
onlyluvcanconka,EbonixSims,non tweet
R0BERTFRANCIS,R0BERTFRANCIS,tweet
joelpollak,MeritLaw,non tweet
joelpollak,BreitbartNews,non tweet
Writnginclusive,Writnginclusive,tweet
1hunnamandreday,1hunnamandreday,tweet
veiledevolution,veiledevolution,tweet
diaz_scrobot,diaz_scrobot,tweet
ashleydano,resistbot,non tweet
RevJoshuaJordan,RevJoshuaJordan,tweet
Morpheus_ME,Morpheus_ME,tweet
atlanticpostng,GhenhisKhan,non tweet
lilychillz,lilychillz,tweet
MegFromMontana,MegFromMontana,tweet
MsBabyDoll117,MsBabyDoll117,tweet
iambigBrad,Nasty_CSA,non tweet
iambigBrad,TreySongz,non tweet
iambigBrad,MeekMill,non tweet
iambigBrad,YG,non tweet
sergan1998,sergan1998,tweet
louisjab,Dusky193,non tweet
louisjab,NuTEKAA_,non tweet
louisjab,_thinkerdog,non tweet
serendipitybtss,actblue,non tweet
serendipitybtss,BTS_twt,non tweet
An_JELLY_ica,An_JELLY_ica,tweet
gf_liberty,gf_liberty,tweet
jamie_renae3674,jamie_renae3674,tweet
Eazuus,Eazuus,tweet
Jaeisreal,RealKeithLee,non tweet
RANTER_DAD,lbc,non tweet
BBChickBrueck,MittRomney,non tweet
TBossUKnow,TBossUKnow,tweet
casadenairobi,heeIusos,non tweet
casadenairobi,xReigningEmpire,non tweet
casadenairobi,FerventMaharaja,non tweet
casadenairobi,flairley,non tweet
casadenairobi,bvnkslayer,non tweet
casadenairobi,crownfIair,non tweet
casadenairobi,blisstatements,non tweet
casadenairobi,rondarouseyszn,non tweet
casadenairobi,juliehuha,non tweet
casadenairobi,VinaMkayce,non tweet
casadenairobi,NYCDemonDiva,non tweet
casadenairobi,iamMimiChelles,non tweet
casadenairobi,Suziealto,non tweet
casadenairobi,kingofthecentre,non tweet
casadenairobi,AGuyNamedMacks,non tweet
casadenairobi,y2stump,non tweet
casadenairobi,jnxnvr,non tweet
casadenairobi,naeusername,non tweet
casadenairobi,rbonne1,non tweet
casadenairobi,Hamanicart617,non tweet
casadenairobi,MyKicksAreMyFix,non tweet
casadenairobi,EllisMbeh,non tweet
casadenairobi,MJ_Santii,non tweet
casadenairobi,DamianG347,non tweet
casadenairobi,DavKind76,non tweet
casadenairobi,FlashPMC,non tweet
casadenairobi,GameOfAnt,non tweet
casadenairobi,real_diculous,non tweet
casadenairobi,queenoftheringg,non tweet
casadenairobi,allhailhann,non tweet
casadenairobi,Blue70517,non tweet
casadenairobi,CaribbeanLovely,non tweet
casadenairobi,iamJustinRitch,non tweet
casadenairobi,bitchwhatline,non tweet
casadenairobi,only1tonid,non tweet
casadenairobi,isitsafe100,non tweet
casadenairobi,FlightAV1,non tweet
casadenairobi,WASMINYGRANDE,non tweet
casadenairobi,RosePlanted_,non tweet
casadenairobi,MysticPabbz,non tweet
casadenairobi,HEELBANKS_,non tweet
casadenairobi,reneesheadset,non tweet
casadenairobi,KhyleDeWitt,non tweet
casadenairobi,bayleysqueen,non tweet
casadenairobi,lynchspuns,non tweet
casadenairobi,luvvbecks,non tweet
casadenairobi,43WlLSON,non tweet
casadenairobi,bigdogstrong,non tweet
casadenairobi,beastmvde,non tweet
casadenairobi,DlRTYAMBROSE,non tweet
QDeezy1920,QDeezy1920,tweet
A2Ipoc,A2Ipoc,tweet
transportnut89,10DowningStreet,non tweet
jim_wager3,jim_wager3,tweet
danafowlefox5,danafowlefox5,tweet
50alchemy,LunkersTV,non tweet
50alchemy,LunkersTV,non tweet
beardedmanzak,RealKeithLee,non tweet
SrceEnterprise,ryangrim,non tweet
Omerasadbajabar,Omerasadbajabar,tweet
Misteism,queennaija,non tweet
Tyyoking,Tyyoking,tweet
JSzpigiel,rejectedjokes,non tweet
NYCFitforFree,basecampfitness,non tweet
Kassandra_1909,Kassandra_1909,tweet
aveowens_,aveowens_,tweet
wewantmoore1,CS_TimBoston,non tweet
wewantmoore1,itsDaniDarling,non tweet
wewantmoore1,JennMint,non tweet
wewantmoore1,UncleByff,non tweet
wewantmoore1,kerryawful,non tweet
wewantmoore1,PHeeterPro,non tweet
wewantmoore1,brittbutspooky,non tweet
wewantmoore1,RighteousJesse,non tweet
wewantmoore1,LordCreweKills,non tweet
wewantmoore1,PlanetWilliams1,non tweet
wewantmoore1,StiffRoboGinger,non tweet
wewantmoore1,papakenway,non tweet
wewantmoore1,dawgg69,non tweet
wewantmoore1,TopherJH,non tweet
wewantmoore1,CBlakula,non tweet
wewantmoore1,RTC_Ento,non tweet
wewantmoore1,beanyfied,non tweet
wewantmoore1,Ginjarella,non tweet
wewantmoore1,DawsePaws,non tweet
wewantmoore1,Charlot61886066,non tweet
wewantmoore1,Rexhonk,non tweet
wewantmoore1,angiebulkeley,non tweet
wewantmoore1,EmilyMarie82,non tweet
wewantmoore1,SupGirl,non tweet
wewantmoore1,supgabcraft,non tweet
wewantmoore1,abhorrently_urs,non tweet
wewantmoore1,Jordamus_Prime,non tweet
wewantmoore1,charliestarship,non tweet
wewantmoore1,TheHorrorHack,non tweet
wewantmoore1,DisfunkGlee,non tweet
wewantmoore1,LolaCrispx,non tweet
wewantmoore1,danajaybein,non tweet
wewantmoore1,ShinkoCosplay,non tweet
wewantmoore1,lata2323,non tweet
wewantmoore1,FilmToilet,non tweet
wewantmoore1,brianfinks69,non tweet
wewantmoore1,missmelis_27,non tweet
wewantmoore1,DarkDingoDom,non tweet
wewantmoore1,sarahsweets83,non tweet
wewantmoore1,AFizgig,non tweet
wewantmoore1,JestScreen,non tweet
wewantmoore1,redqueen76,non tweet
wewantmoore1,icefloe01,non tweet
wewantmoore1,OSUJamieG,non tweet
wewantmoore1,tr_wildebeest,non tweet
wewantmoore1,kjaymes8k,non tweet
wewantmoore1,Bluey_Bell,non tweet
wewantmoore1,KlondikeDJI,non tweet
wewantmoore1,PatMayne731,non tweet
wewantmoore1,shley_moore,non tweet
TrentKellyWPLG,FHPMiami,non tweet
TrentKellyWPLG,WPLGLocal10,non tweet
fullofjeon,fullofjeon,tweet
AlchemPunkNSFW,AlchemPunkNSFW,tweet
MattFosterDC,MattFosterDC,tweet
njacob5,njacob5,tweet
GreavesPoo,GreavesPoo,tweet
Ejike2,anthonycwalker,non tweet
thrillandchills,GFM_CTB,non tweet
thrillandchills,Lookinup2Luv,non tweet
thrillandchills,mrnastyaustin,non tweet
thrillandchills,lennoxfrancis,non tweet
thrillandchills,shoumikitiki,non tweet
thrillandchills,ACLoVeSeXmAgIC,non tweet
XeraciaBB,XeraciaBB,tweet
Ninilondon4,allan97436911,non tweet
Ninilondon4,KTHopkins,non tweet
wileygirlpromos,wileygirlpromos,tweet
btsismykink,actblue,non tweet
Hitstape,Hitstape,tweet
ladywignall,ladywignall,tweet
micaelakz,BTS_twt,non tweet
micaelakz,OneInAnARMY,non tweet
Yoonsfluffy,I_Am_Spring_Day,non tweet
JennyAmazon,JennyAmazon,tweet
butterflygone02,akilahgreen,non tweet
butterflygone02,LMPD,non tweet
butterflygone02,louisvillemayor,non tweet
butterflygone02,GovAndyBeshear,non tweet
butterflygone02,Change,non tweet
stephanie9973,MittRomney,non tweet
stephanie9973,SenateGOP,non tweet
angygrapefruit,angygrapefruit,tweet
cattharper,cattharper,tweet
KrakenOmnipote1,SeattlePD,non tweet
felix_ce11,CrossFit,non tweet
mochiii90,choi_bts2,non tweet
mochiii90,BTS_twt,non tweet
mochiii90,BTS_twt,non tweet
TNLeeG,TNLeeG,tweet
martinekleiman,martinekleiman,tweet
NotButter,NotButter,tweet
Ivan4k5,FINALLEVEL,non tweet
EJulianMiller,EJulianMiller,tweet
tredotjpeg,tredotjpeg,tweet
snazzyazzy83,LZZYHALE,non tweet
snazzyazzy83,SonyaDevilleWWE,non tweet
snazzyazzy83,FinnBalor,non tweet
snazzyazzy83,Brewers,non tweet
Bmikerob,Bmikerob,tweet
DrGJackBrown,DrGJackBrown,tweet
DiskoTwit,DiskoTwit,tweet
MakishaSealey,MakishaSealey,tweet
reisecadu,ariel_geller,non tweet
reisecadu,Danielhrs,non tweet
ThomasACStout,ThomasACStout,tweet
chaospluto,YouTube,non tweet
Chuckbuck__,Chuckbuck__,tweet
gparkin00,gparkin00,tweet
ATWwAlloway,ATWwAlloway,tweet
AZIndivisible1,RepAndyBiggsAZ,non tweet
AZIndivisible1,realDonaldTrump,non tweet
AZIndivisible1,GOPpandemic,non tweet
AZIndivisible1,WhiteHouse,non tweet
AZIndivisible1,RepAndyBiggsAZ,non tweet
charlie_oliver,anthonyfjoshua,non tweet
RetroChampion,RetroChampion,tweet
heeyyanni,heeyyanni,tweet
chingonasound,PolyesterTv,non tweet
chingonasound,Misschulas,non tweet
maka_suarez,maka_suarez,tweet
itsshaqii,itsshaqii,tweet
get_d_hint,chrisrock,non tweet
PaolaCarrasco27,PaolaCarrasco27,tweet
Munehiro,Munehiro,tweet
NxChillPhil,NxChillPhil,tweet
FRIBORED,gen_heleno,non tweet
fauxhumano,themisstoto,non tweet
fauxhumano,foreskinfiesta,non tweet
Morcelle,Morcelle,tweet
bcnul8tr,JanetJackson,non tweet
ShaniLashes,ShaniLashes,tweet
mrnastyaustin,magicSD93,non tweet
mrnastyaustin,CiaraEdits,non tweet
mrnastyaustin,GFM_CTB,non tweet
AgedAndrew,AgedAndrew,tweet
onlyBTS1030,namjoonie_2039,non tweet
onlyBTS1030,BornInIlsan,non tweet
onlyBTS1030,namjoonanamcara,non tweet
onlyBTS1030,HIMNAM74,non tweet
onlyBTS1030,Joonielovely43,non tweet
onlyBTS1030,JOONIXVIII,non tweet
mallikamakkar,mallikamakkar,tweet
luvin_my_shoes,luvin_my_shoes,tweet
Stevo_Supremo,Stevo_Supremo,tweet
ExposedTMedia,ExposedTMedia,tweet
tracyj314,tracyj314,tweet
margien59630748,margien59630748,tweet
faisal_moola,faisal_moola,tweet
oporotheke,change_jpより,non tweet
D_Peppercricket,CS_TimBoston,non tweet
D_Peppercricket,itsDaniDarling,non tweet
D_Peppercricket,JennMint,non tweet
D_Peppercricket,UncleByff,non tweet
D_Peppercricket,kerryawful,non tweet
D_Peppercricket,PHeeterPro,non tweet
D_Peppercricket,brittbutspooky,non tweet
D_Peppercricket,RighteousJesse,non tweet
D_Peppercricket,LordCreweKills,non tweet
D_Peppercricket,PlanetWilliams1,non tweet
D_Peppercricket,StiffRoboGinger,non tweet
D_Peppercricket,papakenway,non tweet
D_Peppercricket,dawgg69,non tweet
D_Peppercricket,TopherJH,non tweet
D_Peppercricket,CBlakula,non tweet
D_Peppercricket,RTC_Ento,non tweet
D_Peppercricket,beanyfied,non tweet
D_Peppercricket,Ginjarella,non tweet
D_Peppercricket,DawsePaws,non tweet
D_Peppercricket,Charlot61886066,non tweet
D_Peppercricket,Rexhonk,non tweet
D_Peppercricket,angiebulkeley,non tweet
D_Peppercricket,EmilyMarie82,non tweet
D_Peppercricket,SupGirl,non tweet
D_Peppercricket,supgabcraft,non tweet
D_Peppercricket,abhorrently_urs,non tweet
D_Peppercricket,Jordamus_Prime,non tweet
D_Peppercricket,charliestarship,non tweet
D_Peppercricket,TheHorrorHack,non tweet
D_Peppercricket,DisfunkGlee,non tweet
D_Peppercricket,LolaCrispx,non tweet
D_Peppercricket,danajaybein,non tweet
D_Peppercricket,ShinkoCosplay,non tweet
D_Peppercricket,lata2323,non tweet
D_Peppercricket,FilmToilet,non tweet
D_Peppercricket,brianfinks69,non tweet
D_Peppercricket,missmelis_27,non tweet
D_Peppercricket,DarkDingoDom,non tweet
D_Peppercricket,sarahsweets83,non tweet
D_Peppercricket,AFizgig,non tweet
D_Peppercricket,JestScreen,non tweet
D_Peppercricket,redqueen76,non tweet
D_Peppercricket,icefloe01,non tweet
D_Peppercricket,OSUJamieG,non tweet
D_Peppercricket,tr_wildebeest,non tweet
D_Peppercricket,kjaymes8k,non tweet
D_Peppercricket,Bluey_Bell,non tweet
D_Peppercricket,BeenIt_Bennett,non tweet
D_Peppercricket,thebigorlando,non tweet
D_Peppercricket,Pres10Vance,non tweet
CaliLiliIndies,anderscorr,non tweet
CaliLiliIndies,NickKristof,non tweet
CaliLiliIndies,nytimes,non tweet
beely,beely,tweet
EsqShaundra,EsqShaundra,tweet
alexispedrao,alexispedrao,tweet
BobBsat1,realDonaldTrump,non tweet
FairOneForest,FairOneForest,tweet
ALINASKY4,ALINASKY4,tweet
hwells0126,hwells0126,tweet
StephCassavaugh,RWPUSA,non tweet
TheatreChat,realDonaldTrump,non tweet
Chyna87234705,MittRomney,non tweet
ReparSandra,ReparSandra,tweet
violentlout,violentlout,tweet
urbanmodernism,urbanmodernism,tweet
amosgw,RogueSNRadvisor,non tweet
Julianyc422Shaw,CBSNews,non tweet
Clarazetkin2020,Clarazetkin2020,tweet
Bookgirl475,GOP,non tweet
SeeHobiRun,SeeHobiRun,tweet
vfeistner,vfeistner,tweet
getmoneycott,getmoneycott,tweet
RizaKatsudon,Krosshair_SSBU,non tweet
RizaKatsudon,gwklein75,non tweet
RizaKatsudon,CrazyChris576,non tweet
RizaKatsudon,TheWitchMilita,non tweet
RizaKatsudon,_TeeRay,non tweet
RizaKatsudon,JaX__45,non tweet
RizaKatsudon,isitsafe100,non tweet
RizaKatsudon,VinaMkayce,non tweet
RizaKatsudon,NYCDemonDiva,non tweet
