source,target,content
NkosinayeSnay,NkosinayeSnay,tweet
AASC_75,AASC_75,tweet
QuidProQuo_MWI,YouTube,non tweet
QuidProQuo_MWI,YouTube,non tweet
QuidProQuo_MWI,iamsheadiamond,non tweet
QuidProQuo_MWI,YouTube,non tweet
kylejohnson2813,kylejohnson2813,tweet
bydefault,bydefault,tweet
baphomedes,baphomedes,tweet
DaBarbieMel,DaBarbieMel,tweet
vekleft,BernieSanders,non tweet
vekleft,People4Bernie,non tweet
Griznak,Griznak,tweet
Screw_a_Name,nickiminaj,non tweet
abhshkndl,kerlon__,non tweet
abhshkndl,NemesisAles,non tweet
abhshkndl,RomeluLukaku9,non tweet
sarahgyuraszii,sarahgyuraszii,tweet
ISASaxonists,ISASaxonists,tweet
Author_Shelly,Author_Shelly,tweet
paul_feilmann,paul_feilmann,tweet
mommy4you69,mommy4you69,tweet
DavidKing1982,trentaa98,non tweet
DAYDABASS,DAYDABASS,tweet
beckieavery4,beckieavery4,tweet
AyaxAdriaz,AyaxAdriaz,tweet
revvrw,nytimes,non tweet
Maxwelldemon86,Maxwelldemon86,tweet
nololobobo,nololobobo,tweet
1519_Mel,andrewkimmel,non tweet
SandraL,SandraL,tweet
imanmali,imanmali,tweet
news_steady,news_steady,tweet
tryagain1motime,balleralert,non tweet
WithanEyePR,WithanEyePR,tweet
WResists,realDonaldTrump,non tweet
ins_hdzn,ins_hdzn,tweet
bornliit,bornliit,tweet
bernielim,bernielim,tweet
lyle_lmilton,lyle_lmilton,tweet
Hawk_Rising,Hawk_Rising,tweet
deirdrehwells,deirdrehwells,tweet
BasebalRomantic,thehill,non tweet
donnac58,donnac58,tweet
bernard_kenyan,bernard_kenyan,tweet
JeremyShure,JeremyShure,tweet
John37121750,WedgeLIVE,non tweet
John37121750,CityMinneapolis,non tweet
John37121750,ChiefMedaria,non tweet
tonydon9,tonydon9,tweet
TaylorAneArt,TaylorAneArt,tweet
majnum,majnum,tweet
jahan_tyson,jahan_tyson,tweet
ZenSiafu,MarkDries1,non tweet
Huckabuck,VP,non tweet
deadpiine,deadpiine,tweet
atmarshall2,kimlatricejones,non tweet
