source,target,content
HaroldWNelson,HaroldWNelson,tweet
HaroldWNelson,HaroldWNelson,tweet
ScribeShelly,ScribeShelly,tweet
BuddyWinston,BuddyWinston,tweet
HaroldWNelson,theadvocatebr,non tweet
LeBaronLordKing,LeBaronLordKing,tweet
LeBaronLordKing,LeBaronLordKing,tweet
NobleJennJenn,NobleJennJenn,tweet
BuddyWinston,BuddyWinston,tweet
gndinaa,gndinaa,tweet
AndyLeeParker1,GretaMurphy16,non tweet
AndyLeeParker1,ErinNanasi,non tweet
AndyLeeParker1,KassandraSeven,non tweet
AndyLeeParker1,E_c_h_o,non tweet
AndyLeeParker1,SwedJewFish,non tweet
AndyLeeParker1,ElPiiiiit,non tweet
AndyLeeParker1,SallyAlbright,non tweet
AndyLeeParker1,cmradari,non tweet
AndyLeeParker1,IncredibleTri,non tweet
AndyLeeParker1,KHiveQueenBee,non tweet
AndyLeeParker1,Stupid_Berns,non tweet
AndyLeeParker1,biden_brigade,non tweet
AndyLeeParker1,kyle_teamjoe,non tweet
AndyLeeParker1,Jaina_Solo_85,non tweet
AndyLeeParker1,marjikk,non tweet
AndyLeeParker1,DailyLibber,non tweet
AndyLeeParker1,karentotten,non tweet
AndyLeeParker1,ahumorlessfem,non tweet
AndyLeeParker1,hoakehrler,non tweet
BuddyWinston,BuddyWinston,tweet
AVALANCHE_RAP,AVALANCHE_RAP,tweet
revfredsmall,AttorneyCrump,non tweet
revfredsmall,mlevenson,non tweet
p_tomblin,p_tomblin,tweet
orSAMANTHATSUKI,orSAMANTHATSUKI,tweet
LakeshowChris,larryelder,non tweet
LakeshowChris,YouTube,non tweet
AVALANCHE_RAP,AVALANCHE_RAP,tweet
writersdelite,writersdelite,tweet
hanjangho76,hanjangho76,tweet
Joseph2482F,HuffPost,non tweet
Joseph2482F,Kaepernick7,non tweet
iamcouture_b,iamcouture_b,tweet
Tigrress_,Tigrress_,tweet
LoveIrreverence,Big6domino,non tweet
Info4U2Know,BarackObama,non tweet
Info4U2Know,realDonaldTrump,non tweet
CanadianLawson,CanadianLawson,tweet
MammaDoggo,Blklivesmatter,non tweet
RosaClara371,RosaClara371,tweet
nefqrtiti,nefqrtiti,tweet
olsenslove,teolovaticmixer,non tweet
MammaDoggo,Blklivesmatter,non tweet
cftsbitter,cftsbitter,tweet
lovngmindfulnss,louisvillemayor,non tweet
jeremy68563607,jeremy68563607,tweet
RyanPyro,ChuckCallesto,non tweet
RaySr1946,RaySr1946,tweet
habte_sabroso,MichaelRenberg,non tweet
habte_sabroso,latimes,non tweet
fiona_joan_r,fiona_joan_r,tweet
BullyEra,BullyEra,tweet
HammForSenate,HammForSenate,tweet
hazelbasil_206,hazelbasil_206,tweet
UsPissed,UsPissed,tweet
Tom886,AOC,non tweet
Tom886,IlhanMN,non tweet
Tom886,AyannaPressley,non tweet
Tom886,RashidaTlaib,non tweet
Tom886,SenSanders,non tweet
Tom886,SpeakerPelosi,non tweet
Tom886,CoryBooker,non tweet
Tom886,JulianCastro,non tweet
Tom886,BillyWarpinjur,non tweet
Tom886,MMFlint,non tweet
