Datetime,Tweet Id,Text,Username,user_mention,followersCount,listedCount
2020-05-23 23:58:44+00:00,1264345049782824960,"#BlackTwitter #blacklivesmatter 

Exonerated after over three decades, singer Archie Williams will sue
https://t.co/HspGWhMOTn",HaroldWNelson,,16602,781
2020-05-23 23:57:21+00:00,1264344701915680768,"#BlackTwitter #blacklivesmatter 

WATCH: After serving over three decades for crime he didn’t commit, Archie Williams finds big break on America’s Got Talent
https://t.co/KIrKaI559A",HaroldWNelson,,16602,781
2020-05-23 23:57:15+00:00,1264344673650425858,This is why #poc are angry!  #blacklivesmatter #racism https://t.co/dp6zI9oPEU,ScribeShelly,,1971,55
2020-05-23 23:56:31+00:00,1264344489658810368,TRANSITION TO GOLFING  #Biden2020 #BlackLivesMatter #TrumpIsAnIdiot #TrumpLiesAmericansDie #TrumpLiesPeopleDie  #coronavirus,BuddyWinston,,19437,41
2020-05-23 23:56:24+00:00,1264344459723935744,"#BlackTwitter
#BlackLivesMatter

Archie Williams wrongfully spent decades at Angola. Now he's a budding 'America's Got Talent' star. https://t.co/hWUERi2BNw via @theadvocatebr",HaroldWNelson,theadvocatebr,16602,781
2020-05-23 23:55:17+00:00,1264344180089745409,#StayHome #WhenTheySeeUs #BlackCommunity #BlackLivesMatter #SayHerName #BlackTwitter #America #Oakland #Mobile #northerncalifornia #SanFrancisco #BayArea #GOP #democracy #Kentucky #Georgia https://t.co/WPffZyVi8R,LeBaronLordKing,,163,35
2020-05-23 23:54:00+00:00,1264343856880824320,These are the Carnaries we will watch &amp; 14 days from now check back with you. #Amen #StayHome #WhenTheySeeUs #BlackCommunity #BlackLivesMatter #SayHerName #BlackTwitter #America #Oakland #Mobile #northerncalifornia #SanFrancisco #BayArea #GOP #democracy #Kentucky #Georgia https://t.co/K8NTy4pvGq,LeBaronLordKing,,163,35
2020-05-23 23:52:25+00:00,1264343460062081024,This is America.. #BlackLivesMatter #BlackLifeRocks #ItsAMovement #NENOShouse #AskAboutTheAcronym #IAmMyBrand #TheDutchessOfDuval #FloridaGirl #LetsBuild #FuckYouTalmBout #NobleOnes #NobleJennJenn #NobleGambino… https://t.co/QWL7HyqPn6,NobleJennJenn,,1115,8
2020-05-23 23:50:13+00:00,1264342904627232775,"96% of Republican party support him according to Trump, unfortunately for him they will suddenly disappear, they will vanish like magic.... #Biden2020 #BlackLivesMatter #TrumpIsAnIdiot #TrumpLiesAmericansDie #TrumpLiesPeopleDie  #coronavirus",BuddyWinston,,19437,41
2020-05-23 23:44:53+00:00,1264341561049055238,simple reminder: the black lives matter movement doesn’t undermine others. it is incredibly needed and those who say otherwise and try and invalidate the movement are ignorant. #blacklivesmatter,gndinaa,,709,2
