source,target,content
6321lindsayj,_SJPeace_,non tweet
Sithish,jconstance61,non tweet
Sithish,gryking,non tweet
MelHarman,MelHarman,tweet
Brent_Liebel,BackTheLEOs,non tweet
BeautyBind,cromgood,non tweet
BeautyBind,KHiveQueenBee,non tweet
Kimbalee77,Kimbalee77,tweet
bluelivesmtr,bluelivesmtr,tweet
DJDonaldTrvmp,DJDonaldTrvmp,tweet
4theLoveOfBees,4theLoveOfBees,tweet
Dachief_Paul,thinblueliner,non tweet
Dachief_Paul,LivePdFans,non tweet
Dachief_Paul,bluelinenation,non tweet
Dachief_Paul,NationalSheriff,non tweet
Dachief_Paul,NatPoliceAssoc,non tweet
Dachief_Paul,LivePdBlueLine,non tweet
Dachief_Paul,UrgentNews911,non tweet
Oh_Yeah_ThatGuy,Oh_Yeah_ThatGuy,tweet
adgoldwasser,forexposure_txt,non tweet
Bhubesykazi,Bhubesykazi,tweet
genereaux2019,MichelleSteelCA,non tweet
genereaux2019,VoiceofOC,non tweet
genereaux2019,ocregister,non tweet
bluelivesmtr,bluelivesmtr,tweet
HeReTTiK,HeReTTiK,tweet
blackandmilez,blackandmilez,tweet
NotGr8flJstDead,NotGr8flJstDead,tweet
HerMessyAfro,HerMessyAfro,tweet
HerMessyAfro,HerMessyAfro,tweet
xSt33zy,Wes_Side_Story,non tweet
ModestSole1,ModestSole1,tweet
kevinmj76,Boardmania_,non tweet
kevinmj76,realDonaldTrump,non tweet
kevinmj76,GOP,non tweet
kevinmj76,GOP,non tweet
SuziUrell,HoarseWisperer,non tweet
atlijas,hrafnjonsson,non tweet
atlijas,heiduranna,non tweet
LiveLifeLuvWell,JpTrumpower,non tweet
LiveLifeLuvWell,OnlineDetective,non tweet
LiveLifeLuvWell,RexChapman,non tweet
eaglesnestof3,eaglesnestof3,tweet
RedfireBlueice,lipsoneric,non tweet
saluki1962,BillJanis,non tweet
saluki1962,bobcesca_go,non tweet
cowballad,cowballad,tweet
saluki1962,DeirdreFlanagan,non tweet
saluki1962,bobcesca_go,non tweet
Mikethejohnson,fanofprincephil,non tweet
Mikethejohnson,Gavin1962,non tweet
Mikethejohnson,gryking,non tweet
2whltrvlr,POTUS,non tweet
2whltrvlr,FLOTUS,non tweet
JMuhd1,gryking,non tweet
Mels_Pickett33,iwinsoiwin,non tweet
BrianSJagger,LivePdFans,non tweet
bluelivesmtr,bluelivesmtr,tweet
bluelivesmtr,bluelivesmtr,tweet
bluelivesmtr,bluelivesmtr,tweet
bluelivesmtr,bluelivesmtr,tweet
bluelivesmtr,bluelivesmtr,tweet
bluelivesmtr,bluelivesmtr,tweet
bluelivesmtr,bluelivesmtr,tweet
bluelivesmtr,bluelivesmtr,tweet
CoOfficeCat,gryking,non tweet
bluelivesmtr,bluelivesmtr,tweet
GulvergS,OfficialLivePD,non tweet
Phrozensolid06,Redpainter1,non tweet
Phrozensolid06,ResistMonsters,non tweet
BrianSJagger,MDAckerson,non tweet
BrianSJagger,LivePdFans,non tweet
BrianSJagger,James_lewis2,non tweet
BrianSJagger,glenn_henagan,non tweet
BrianSJagger,OfficialLivePD,non tweet
BrianSJagger,LivePDNation,non tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BrianSJagger,OfficialLivePD,non tweet
VinceinBrkLn,NunesDrag,non tweet
bigricanman,Lawrence_Police,non tweet
KellyScaletta,RexChapman,non tweet
jason2point0_0,dojacat,non tweet
DenisBreda,DenisBreda,tweet
_dwalt,_dwalt,tweet
LarryWaldbillig,Sanjosemailman,non tweet
protectingblue,protectingblue,tweet
JustSmokey_147,JustSmokey_147,tweet
leftiecoastie,Sanjosemailman,non tweet
DoutorMadureira,DoutorMadureira,tweet
Mimibear9294,gamecocksSecE,non tweet
Mimibear9294,CopWithAttitude,non tweet
Mimibear9294,dbongino,non tweet
leviteking,leviteking,tweet
Dachief_Paul,thinblueliner,non tweet
Dachief_Paul,LivePdFans,non tweet
Dachief_Paul,bluelinenation,non tweet
Dachief_Paul,NationalSheriff,non tweet
Dachief_Paul,NatPoliceAssoc,non tweet
Dachief_Paul,LivePdBlueLine,non tweet
Dachief_Paul,UrgentNews911,non tweet
7Selassie,acnewsitics,non tweet
wkbc2m,DeputyDuvall,non tweet
wkbc2m,OfficialLivePD,non tweet
B1Fiirst,B1Fiirst,tweet
Oh_Yeah_ThatGuy,Oh_Yeah_ThatGuy,tweet
Sitimesparty,Sitimesparty,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
Becool088,Love4PoliceDogs,non tweet
Becool088,jsipe2005,non tweet
Becool088,k9sofvalor,non tweet
Becool088,doglover29,non tweet
Becool088,Christina_Roof,non tweet
Becool088,IamchosenbyGod,non tweet
Becool088,PYon_LiveLife,non tweet
Becool088,thebingoman21,non tweet
Becool088,Dega_1964,non tweet
Becool088,tkeleiott,non tweet
Becool088,K9Garm,non tweet
misanthropemime,misanthropemime,tweet
DAngelo136,Frank90330513,non tweet
Finger_Knees,Finger_Knees,tweet
pugsman51,taradublinrocks,non tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
manostorgo,manostorgo,tweet
CryptoSlivers,CstShaw,non tweet
CryptoSlivers,CstSmith,non tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
algattullo,algattullo,tweet
DenisBreda,DenisBreda,tweet
tina_mallard,tina_mallard,tweet
tweetsbysy,tweetsbysy,tweet
ItsAllAboutDB,Marzipans,non tweet
ItsAllAboutDB,NunesDrag,non tweet
Justbeazy3,DaRealNickBezz,non tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
marcivry,KHiveQueenBee,non tweet
mcsquishi,SymoneDSanders,non tweet
Oh_Yeah_ThatGuy,Oh_Yeah_ThatGuy,tweet
Oh_Yeah_ThatGuy,Oh_Yeah_ThatGuy,tweet
Oh_Yeah_ThatGuy,Oh_Yeah_ThatGuy,tweet
_OffDutyPodcast,ClippersandCops,non tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
jonah0404,jonah0404,tweet
luncheonham,noozbot,non tweet
luncheonham,klustout,non tweet
luncheonham,WilsonLeungWS,non tweet
luncheonham,INTERPOL_HQ,non tweet
luncheonham,INTERPOL_Cyber,non tweet
luncheonham,INTERPOL_EC,non tweet
luncheonham,INTERPOL_USA,non tweet
luncheonham,INTERPOL_TIGC,non tweet
luncheonham,INTERPOL_HTCE,non tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
Oh_Yeah_ThatGuy,Oh_Yeah_ThatGuy,tweet
HerMessyAfro,HerMessyAfro,tweet
ddot100,notcapnamerica,non tweet
katet7,katet7,tweet
Becool088,HollistonPolice,non tweet
Becool088,AuburnMAPolice,non tweet
BlueLineBeasts,BlueLineBeasts,tweet
BenignVanilla,MarkJKremer,non tweet
MarkJKremer,MarkJKremer,tweet
BlueLivesNYC,bluelivesphoto,non tweet
BlueLivesNYC,ImperatriceV,non tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
Jenna_Blue4,Jenna_Blue4,tweet
Thatcoolque,notcapnamerica,non tweet
iamrob6719,KHiveQueenBee,non tweet
MobungaB,MobungaB,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
lawscomm,Tahdahling,non tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
s_daboob,CPD25thDistrict,non tweet
WGeorgeCook,tedneward,non tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
AshleyRValdez1,AshleyRValdez1,tweet
western_gypsy,roundrockpolice,non tweet
issabailot,StBridgetAthena,non tweet
issabailot,_Cykocurt_,non tweet
2whltrvlr,POTUS,non tweet
2whltrvlr,FLOTUS,non tweet
TrumpPasta,firemanbrawls,non tweet
TrumpPasta,dbongino,non tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
BearWitnessCtl,BearWitnessCtl,tweet
Drea_got_rage,KHiveQueenBee,non tweet
nickwaye,nickwaye,tweet
bluelivesmtr,bluelivesmtr,tweet
bluelivesmtr,bluelivesmtr,tweet
bluelivesmtr,bluelivesmtr,tweet
bluelivesmtr,bluelivesmtr,tweet
K55Kelly,K55Kelly,tweet
