Datetime,Tweet Id,Text,Username,user_mention,followersCount,listedCount
2020-05-23 23:58:48+00:00,1264345064098205698,@_SJPeace_ Honest Police would want this punk cop off the force #BlueLivesMatter,6321lindsayj,_SJPeace_,311,0
2020-05-23 23:56:59+00:00,1264344609255092224,@jconstance61 @gryking This thug shouldn’t have resisted arrest #BlueLivesMatter 👮‍♂️💙,Sithish,jconstance61,75,1
2020-05-23 23:16:20+00:00,1264334377229697034,"So, to be clear apparently somewhere in the constitution, or one of its amendments, it addresses howpeople have no responsibility to society &amp; have the right to infect others? So much for #BlueLivesMatter #SupportOurTroops &amp; being pro-life. #GOPHypocrisy #RepublicansAreKillingUs https://t.co/LFRuKKHloH",MelHarman,,283,13
2020-05-23 20:47:00+00:00,1264296798425886720,#BlueLivesMatter @BackTheLEOs https://t.co/vi4qfSuXvY,Brent_Liebel,BackTheLEOs,403,30
2020-05-23 20:28:24+00:00,1264292117087748096,"@cromgood @KHiveQueenBee There goes all the #BlueLivesMatter shit, right out the Karen window.",BeautyBind,"cromgood, khivequeenbee",36360,326
2020-05-23 20:13:35+00:00,1264288388305367040,"Heroes work at every police station, fire station, hospital, medical center.  Thank you for all you do every day.  #thankyouforyourservice #thankyou #bluelivesmatter #redlivesmatter #alllifeisprecious… https://t.co/DirPXaZRMs",Kimbalee77,,413,16
2020-05-23 20:05:03+00:00,1264286240779767811,"VIDEO: Suicidal Suspect Fatally Shot After Rushing Officers With Machete https://t.co/FZmz8Ph4L1

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",bluelivesmtr,bluelivesmtr,79151,252
2020-05-23 18:53:42+00:00,1264268285790445569,#BlueLivesMatter https://t.co/9gCnPSUIg9,DJDonaldTrvmp,,13,0
2020-05-23 18:21:29+00:00,1264260174249771008,#BlueLivesMatter https://t.co/PKtUhmbR7M,4theLoveOfBees,,741,1
2020-05-23 18:07:21+00:00,1264256621439483907,"The truth is funny 😁 

#leader 
#funny #laugh #BlueLivesMatter 
#ChicagoPD 
#Livepd #LivePDNation 
#LivePD #LivePDNation 
@thinblueliner 
  @LivePdFans @bluelinenation   @NationalSheriff @NatPoliceAssoc  @LivePdBlueLine @UrgentNews911 https://t.co/8SW60edKE3",Dachief_Paul,"LivePdFans, bluelinenation, NationalSheriff, NatPoliceAssoc, LivePdBlueLine, UrgentNews911",6069,0
2020-05-23 17:52:44+00:00,1264252942032355328,"Did you ever see joebiden chilling with shabbaranks ?

🤔🤔🤔🤔🤔🤔🤔🤔🤔

Follow my back up at sofunnything
Hot fire incoming
.
.
.
.
.
#sheriff #cop #lawenforcement  #cops #pewpew #backtheblue #bluelivesmatter #k9 #police… https://t.co/FOqc6HZtbI",Oh_Yeah_ThatGuy,,702,16
2020-05-23 17:45:07+00:00,1264251022526099456,@forexposure_txt PS: #BlueLivesMatter,adgoldwasser,forexposure_txt,234,13
2020-05-23 17:42:10+00:00,1264250280474030083,#BlueLivesMatter #yellow #musician #PhotoChallenge2020May #bluehair #FolloForFolloBack https://t.co/erDMwTJLpb,Bhubesykazi,,45,2
2020-05-23 17:39:39+00:00,1264249648459333635,@MichelleSteelCA @VoiceofOC @ocregister When will you require our cops/sheriff’s to wear masks?  Are we expected to pay for these folks when they get sick?  What about taxpayers who don’t want to pay for this?  What about #BlueLivesMatter? #MaskItOrCasket https://t.co/XTMTi9KSeo,genereaux2019,"MichelleSteelCA, VoiceofOC, ocregister",822,11
2020-05-23 17:32:58+00:00,1264247968569462785,"Mayor With Numerous Knife Wounds Claims He 'Fell' On Knife https://t.co/xotPny9Nbm

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",bluelivesmtr,bluelivesmtr,79151,252
2020-05-23 17:22:54+00:00,1264245434584715264,I think iv had a visit from one of the children of the Blue Ray?  #spiritualawakening #ufo #paranormal #BlueLivesMatter #5thdimension #adelaide #southaustralia #aliens https://t.co/PScTKh5XHa,HeReTTiK,,1900,10
2020-05-23 15:58:53+00:00,1264224290775478273,"I’ve never said this before 

But

That cop was scared for his life. 

#bluelivesmatter https://t.co/1Abu6rjTVR",blackandmilez,,722,0
2020-05-23 15:55:47+00:00,1264223509179437057,What happened to #BlueLivesMatter ? https://t.co/QOVRXyN8El,NotGr8flJstDead,,391,2
2020-05-23 15:11:45+00:00,1264212430055448577,"#BlueLivesMatter has been mighty quiet in regards to #BreonnaTaylor but, I didn’t really expect anything more bc they’re exactly like #AllLivesMatter ... A movement w. only ONE targeted purpose &amp; that is trying to diminish #BlackLivesMatter",HerMessyAfro,,1836,21
2020-05-23 15:03:37+00:00,1264210380731166720,All charges dropped against #KennethWalker ✊🏿✊🏿✊🏿✊🏿 An investigation needs to be opened for #BreonnaTaylor’s MURDER. The cops should be fired &amp; go to prison. That was handled so terrible. Where is #BlueLivesMatter now? 🤔#Justice4Breonna,HerMessyAfro,,1836,21
2020-05-23 14:49:15+00:00,1264206766268612611,@Wes_Side_Story Lock that uncompliant thug up #BlueLivesMatter,xSt33zy,Wes_Side_Story,1052,8
