,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
4105,2020-06-07,"Who still doesn't get it? 🤔

#BlackLivesMatter is
N O T about hating white people or the American flag!

#joinUs
#changeyourthinking
#loveoneanother
#getitdone
#Justice https://t.co/BNTiWR1mnl",still doesnt get n hating white people american flag ,1,en,"['still', 'doesnt', 'get', 'hating', 'white', 'people', 'american', 'flag']","[('still', 'RB'), ('doesnt', 'VBZ'), ('get', 'VB'), ('hating', 'JJ'), ('white', 'JJ'), ('people', 'NNS'), ('american', 'JJ'), ('flag', 'NN')]", still doesnt get hating white people american flag,0.71240497
4106,2020-06-07,Watching @NXTTakeOver  #InYourHouse and I love @RealKeithLee #BlackLivesMatter shorts!,watching love shorts ,1,en,"['watching', 'love', 'shorts']","[('watching', 'VBG'), ('love', 'NN'), ('shorts', 'NNS')]", watch love short,0.10318962
4107,2020-06-07,"@realDonaldTrump Obama built it, you just took credit for it. #BlackLivesMatter #WorstPresidentEver",obama built took credit ,1,en,"['obama', 'built', 'took', 'credit']","[('obama', 'NN'), ('built', 'VBN'), ('took', 'VBD'), ('credit', 'NN')]", obama build take credit,0.13302572
4108,2020-06-07,I’m one of the buyers of your book- part of these stats- and I’m encouraged people are taking this moment seriously. #BlackLivesMatter #antiracist https://t.co/8Ini2ITaTz,i’m one buyers book part stats i’m encouraged people taking moment seriously ,1,en,"['one', 'buyers', 'book', 'part', 'stats', 'encouraged', 'people', 'taking', 'moment', 'seriously']","[('one', 'CD'), ('buyers', 'NNS'), ('book', 'NN'), ('part', 'NN'), ('stats', 'VBZ'), ('encouraged', 'JJ'), ('people', 'NNS'), ('taking', 'VBG'), ('moment', 'NN'), ('seriously', 'RB')]", one buyer book part stats encouraged people take moment seriously,0.103773296
4109,2020-06-07,@Richek @KropotkinPetyr Crispus Attucks shudders #SayTheirNames #BlackLivesMatter,crispus attucks shudders ,1,en,"['crispus', 'attucks', 'shudders']","[('crispus', 'NN'), ('attucks', 'NNS'), ('shudders', 'NNS')]", crispus attucks shudder,0.5378461
4110,2020-06-07,"@thehill The American Spring, which started with the killing of #GeorgeFlyod, moved to #Mexico and then #Britain, and he will certainly move to #European countries and #Russia is not far from all this.
#BlackLivesMatter https://t.co/vvhiGqTx90",american spring started killing moved certainly move countries far ,1,en,"['american', 'spring', 'started', 'killing', 'moved', 'certainly', 'move', 'countries', 'far']","[('american', 'JJ'), ('spring', 'NN'), ('started', 'VBD'), ('killing', 'VBG'), ('moved', 'VBN'), ('certainly', 'RB'), ('move', 'NN'), ('countries', 'NNS'), ('far', 'RB')]", american spring start kill move certainly move country far,0.4681225
4111,2020-06-07,"@SeanRossSapp Well thank god, Keith Lee is winning this.
#BlackLivesMatter",well thank god keith lee winning ,1,en,"['well', 'thank', 'god', 'keith', 'lee', 'winning']","[('well', 'RB'), ('thank', 'JJ'), ('god', 'NN'), ('keith', 'NN'), ('lee', 'NN'), ('winning', 'VBG')]", well thank god keith lee win,0.096454106
4112,2020-06-07,"“Unity As One Stand Together” Time for a change. Be the change. #blacklivesmatter ✊🏿✊🏾✊✊🏽✊🏼✊🏻 .
.
.
.
.
.
.
.
#nojusticenopeace #together 
#unity #powerofhope #poweroflove #standtogether #hope #love… https://t.co/954eX2jzjb",“unity one stand together” time change change ,1,en,"['unity', 'one', 'stand', 'together', 'time', 'change', 'change']","[('unity', 'NN'), ('one', 'CD'), ('stand', 'NN'), ('together', 'RB'), ('time', 'NN'), ('change', 'NN'), ('change', 'NN')]", unity one stand together time change change,0.0891784
4113,2020-06-07,"Together with my neighbors, #westandwithyou #blacklivesmatter @ Ault Park Cincinnati https://t.co/wzPEmIEpY2",together neighbors ault park cincinnati ,1,en,"['together', 'neighbors', 'ault', 'park', 'cincinnati']","[('together', 'RB'), ('neighbors', 'NNS'), ('ault', 'VBP'), ('park', 'NN'), ('cincinnati', 'NN')]", together neighbor ault park cincinnati,0.11491394
4114,2020-06-07,Shout outs to Keith Lee for his Tights. #BlackLivesMatter,shout outs keith lee tights ,1,en,"['shout', 'outs', 'keith', 'lee', 'tights']","[('shout', 'NN'), ('outs', 'NNS'), ('keith', 'VBP'), ('lee', 'JJ'), ('tights', 'NNS')]", shout out keith lee tights,0.42311466
