,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
8433,2020-06-21,You just know a racist simply by this #Alllivesmatter tag when #BlackLivesMatter is the mentioned🤦🏽‍♀️.,know racist simply tag mentioned ,1,en,"['know', 'racist', 'simply', 'tag', 'mentioned']","[('know', 'JJ'), ('racist', 'NN'), ('simply', 'RB'), ('tag', 'JJ'), ('mentioned', 'VBD')]", know racist simply tag mention,0.5181011
8434,2020-06-21,Dandole Al Minecraft!!! NOCHE DE JUICIO #Quesiland #BlackLivesMatter !discord !instagram !twitter ROAD TO 100 FOLLOWERS!!! https://t.co/LvHB8Tb3bB,dandole al minecraft noche de juicio discord instagram twitter road followers ,1,en,"['dandole', 'minecraft', 'noche', 'juicio', 'discord', 'instagram', 'twitter', 'road', 'followers']","[('dandole', 'NN'), ('minecraft', 'NN'), ('noche', 'NN'), ('juicio', 'NN'), ('discord', 'NN'), ('instagram', 'NN'), ('twitter', 'NN'), ('road', 'NN'), ('followers', 'NNS')]", dandole minecraft noche juicio discord instagram twitter road follower,0.01561861
8435,2020-06-21,"Day 1 
Black Queer Town Hall Day 1: Reflection https://t.co/fCPY0A8tGk via @YouTube 

Day 2
Black Queer Town Hall Day 1: Reflection https://t.co/fCPY0A8tGk via @YouTube 

#Pride  #PrideMonth  #PRIDE2020  #BlackLivesMatter  #BlackTransLivesMatter",day black queer town hall day reflection via day black queer town hall day reflection via ,1,en,"['day', 'black', 'queer', 'town', 'hall', 'day', 'reflection', 'via', 'day', 'black', 'queer', 'town', 'hall', 'day', 'reflection', 'via']","[('day', 'NN'), ('black', 'JJ'), ('queer', 'NN'), ('town', 'NN'), ('hall', 'DT'), ('day', 'NN'), ('reflection', 'NN'), ('via', 'IN'), ('day', 'NN'), ('black', 'JJ'), ('queer', 'NN'), ('town', 'NN'), ('hall', 'DT'), ('day', 'NN'), ('reflection', 'NN'), ('via', 'IN')]", day black queer town hall day reflection via day black queer town hall day reflection via,0.5423172
8436,2020-06-21,"Listening to an amazing performance by the incredible @iamsheadiamond during the #BLACKQUEERTOWNHALL 

Black Queer Town Hall Day 3: Black Joy https://t.co/zzw0kABFl1 via @YouTube

#Pride  #PrideMonth  #PRIDE2020  #BlackLivesMatter #BlackTransLivesMatter",listening amazing performance incredible black queer town hall day black joy via ,1,en,"['listening', 'amazing', 'performance', 'incredible', 'black', 'queer', 'town', 'hall', 'day', 'black', 'joy', 'via']","[('listening', 'VBG'), ('amazing', 'JJ'), ('performance', 'NN'), ('incredible', 'JJ'), ('black', 'JJ'), ('queer', 'NN'), ('town', 'NN'), ('hall', 'DT'), ('day', 'NN'), ('black', 'JJ'), ('joy', 'NN'), ('via', 'IN')]", listen amazing performance incredible black queer town hall day black joy via,0.5876557
8437,2020-06-21,#LiberalHypocrisy if #BlackLivesMatter supporters ignore this 👇🏿 https://t.co/WZsLyh4GwZ https://t.co/EfME9jDHVP,supporters ignore ,1,en,"['supporters', 'ignore']","[('supporters', 'NNS'), ('ignore', 'VBP')]", supporter ignore,0.3037489
8438,2020-06-21,The KKK is in #branson right now. #BlackLivesMatter #bantheklan,kkk right ,1,en,"['kkk', 'right']","[('kkk', 'NNS'), ('right', 'RB')]", kkk right,0.052032944
8439,2020-06-21,Went to a protest yesterday and felt so good bout it. Definitely going to another one 🙂 #BlackLivesMatter #NoJusticeNoPeace https://t.co/vu3bbDRGF5,went protest yesterday felt good bout definitely going another one ,1,en,"['went', 'protest', 'yesterday', 'felt', 'good', 'bout', 'definitely', 'going', 'another', 'one']","[('went', 'VBD'), ('protest', 'NN'), ('yesterday', 'NN'), ('felt', 'VBD'), ('good', 'JJ'), ('bout', 'NN'), ('definitely', 'RB'), ('going', 'VBG'), ('another', 'DT'), ('one', 'CD')]", go protest yesterday felt good bout definitely go another one,0.05957865
8440,2020-06-21,"@BernieSanders Bernie, ""let's keep fighting?"" is a bit underwhelming from you. Seriously. Get in front of cameras get on the news, no matter what the DNC tells you! Always mention your support for Biden but YOUR voice gets attention. #Covid #BlackLivesMatter #Trump #protests @People4Bernie",bernie lets keep fighting bit underwhelming seriously get front cameras get news matter dnc tells always mention support biden voice gets attention ,1,en,"['bernie', 'lets', 'keep', 'fighting', 'bit', 'underwhelming', 'seriously', 'get', 'front', 'cameras', 'get', 'news', 'matter', 'dnc', 'tells', 'always', 'mention', 'support', 'biden', 'voice', 'gets', 'attention']","[('bernie', 'NN'), ('lets', 'VBZ'), ('keep', 'VB'), ('fighting', 'VBG'), ('bit', 'RB'), ('underwhelming', 'JJ'), ('seriously', 'RB'), ('get', 'VB'), ('front', 'JJ'), ('cameras', 'NNS'), ('get', 'VBP'), ('news', 'NN'), ('matter', 'NN'), ('dnc', 'NN'), ('tells', 'VBZ'), ('always', 'RB'), ('mention', 'JJ'), ('support', 'NN'), ('biden', 'JJ'), ('voice', 'NN'), ('gets', 'VBZ'), ('attention', 'NN')]", bernie let keep fight bit underwhelming seriously get front camera get news matter dnc tell always mention support biden voice get attention,0.15186475
8442,2020-06-21,"“You bitches gotta face time for them hate crimes.” - @nickiminaj 🖤

#BlackLivesMatter @ Cherry Hill, Virginia https://t.co/KeM8uGWLmF",“you bitches gotta face time hate crimes” cherry hill virginia ,1,en,"['bitches', 'got', 'face', 'time', 'hate', 'crimes', 'cherry', 'hill', 'virginia']","[('bitches', 'NNS'), ('got', 'VBD'), ('face', 'JJ'), ('time', 'NN'), ('hate', 'JJ'), ('crimes', 'NNS'), ('cherry', 'VBP'), ('hill', 'CD'), ('virginia', 'NNS')]", bitch get face time hate crime cherry hill virginia,0.98827255
8443,2020-06-21,"@kerlon__ @NemesisAles @RomeluLukaku9 Nobody said they the only victims, its just due to recent events and what has been going on for a long time especially in NA the spot light is on their issues and you should respect it instead of trying to make it about everyone else #BlackLivesMatter doesn’t mean all lives don’t",nobody said victims due recent events going long time especially na spot light issues respect instead trying make everyone else doesn’t mean lives don’t ,1,en,"['nobody', 'said', 'victims', 'due', 'recent', 'events', 'going', 'long', 'time', 'especially', 'spot', 'light', 'issues', 'respect', 'instead', 'trying', 'make', 'everyone', 'else', 'mean', 'lives']","[('nobody', 'NN'), ('said', 'VBD'), ('victims', 'NNS'), ('due', 'JJ'), ('recent', 'JJ'), ('events', 'NNS'), ('going', 'VBG'), ('long', 'JJ'), ('time', 'NN'), ('especially', 'RB'), ('spot', 'JJ'), ('light', 'JJ'), ('issues', 'NNS'), ('respect', 'VBP'), ('instead', 'RB'), ('trying', 'VBG'), ('make', 'VB'), ('everyone', 'NN'), ('else', 'JJ'), ('mean', 'NN'), ('lives', 'NNS')]", nobody say victim due recent event go long time especially spot light issue respect instead try make everyone else mean life,0.068425894
