,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
0,2020-05-23,"#BlackTwitter #blacklivesmatter 

Exonerated after over three decades, singer Archie Williams will sue
https://t.co/HspGWhMOTn",exonerated three decades singer archie williams sue ,1,en,"['exonerated', 'three', 'decades', 'singer', 'archie', 'williams', 'sue']","[('exonerated', 'VBN'), ('three', 'CD'), ('decades', 'NNS'), ('singer', 'VBP'), ('archie', 'JJ'), ('williams', 'NNS'), ('sue', 'NN')]", exonerate three decade singer archie williams sue,0.102133214
1,2020-05-23,"#BlackTwitter #blacklivesmatter 

WATCH: After serving over three decades for crime he didn’t commit, Archie Williams finds big break on America’s Got Talent
https://t.co/KIrKaI559A",watch serving three decades crime didn’t commit archie williams finds big break america’s got talent ,1,en,"['watch', 'serving', 'three', 'decades', 'crime', 'commit', 'archie', 'williams', 'finds', 'big', 'break', 'america', 'got', 'talent']","[('watch', 'NN'), ('serving', 'VBG'), ('three', 'CD'), ('decades', 'NNS'), ('crime', 'NN'), ('commit', 'NN'), ('archie', 'IN'), ('williams', 'NNS'), ('finds', 'VBZ'), ('big', 'JJ'), ('break', 'NN'), ('america', 'NN'), ('got', 'VBD'), ('talent', 'NN')]", watch serve three decade crime commit archie williams find big break america get talent,0.20506157
2,2020-05-23,This is why #poc are angry!  #blacklivesmatter #racism https://t.co/dp6zI9oPEU,angry ,1,en,['angry'],"[('angry', 'JJ')]", angry,0.12147236
3,2020-05-23,TRANSITION TO GOLFING  #Biden2020 #BlackLivesMatter #TrumpIsAnIdiot #TrumpLiesAmericansDie #TrumpLiesPeopleDie  #coronavirus,transition golfing ,1,en,"['transition', 'golfing']","[('transition', 'NN'), ('golfing', 'NN')]", transition golfing,0.030571504
4,2020-05-23,"#BlackTwitter
#BlackLivesMatter

Archie Williams wrongfully spent decades at Angola. Now he's a budding 'America's Got Talent' star. https://t.co/hWUERi2BNw via @theadvocatebr",archie williams wrongfully spent decades angola hes budding americas got talent star via ,1,en,"['archie', 'williams', 'wrongfully', 'spent', 'decades', 'angola', 'hes', 'budding', 'americas', 'got', 'talent', 'star', 'via']","[('archie', 'JJ'), ('williams', 'NNS'), ('wrongfully', 'RB'), ('spent', 'VBD'), ('decades', 'NNS'), ('angola', 'JJ'), ('hes', 'NNS'), ('budding', 'VBG'), ('americas', 'NN'), ('got', 'VBD'), ('talent', 'JJ'), ('star', 'NN'), ('via', 'IN')]", archie williams wrongfully spend decade angola he bud america get talent star via,0.12377923
5,2020-05-23,These are the Carnaries we will watch &amp; 14 days from now check back with you. #Amen #StayHome #WhenTheySeeUs #BlackCommunity #BlackLivesMatter #SayHerName #BlackTwitter #America #Oakland #Mobile #northerncalifornia #SanFrancisco #BayArea #GOP #democracy #Kentucky #Georgia https://t.co/K8NTy4pvGq,carnaries watch amp days check back ,1,en,"['carnaries', 'watch', 'amp', 'days', 'check', 'back']","[('carnaries', 'NNS'), ('watch', 'VBP'), ('amp', 'JJ'), ('days', 'NNS'), ('check', 'VB'), ('back', 'RB')]", carnaries watch amp day check back,0.05568023
6,2020-05-23,This is America.. #BlackLivesMatter #BlackLifeRocks #ItsAMovement #NENOShouse #AskAboutTheAcronym #IAmMyBrand #TheDutchessOfDuval #FloridaGirl #LetsBuild #FuckYouTalmBout #NobleOnes #NobleJennJenn #NobleGambino… https://t.co/QWL7HyqPn6,america ,1,en,['america'],"[('america', 'NN')]", america,0.054821983
7,2020-05-23,"96% of Republican party support him according to Trump, unfortunately for him they will suddenly disappear, they will vanish like magic.... #Biden2020 #BlackLivesMatter #TrumpIsAnIdiot #TrumpLiesAmericansDie #TrumpLiesPeopleDie  #coronavirus",republican party support according trump unfortunately suddenly disappear vanish like magic ,1,en,"['republican', 'party', 'support', 'according', 'trump', 'unfortunately', 'suddenly', 'disappear', 'vanish', 'like', 'magic']","[('republican', 'JJ'), ('party', 'NN'), ('support', 'NN'), ('according', 'VBG'), ('trump', 'NN'), ('unfortunately', 'RB'), ('suddenly', 'RB'), ('disappear', 'VBP'), ('vanish', 'JJ'), ('like', 'IN'), ('magic', 'NN')]", republican party support accord trump unfortunately suddenly disappear vanish like magic,0.4187145
8,2020-05-23,simple reminder: the black lives matter movement doesn’t undermine others. it is incredibly needed and those who say otherwise and try and invalidate the movement are ignorant. #blacklivesmatter,simple reminder black lives matter movement doesn’t undermine others incredibly needed say otherwise try invalidate movement ignorant ,1,en,"['simple', 'reminder', 'black', 'lives', 'matter', 'movement', 'undermine', 'others', 'incredibly', 'needed', 'say', 'otherwise', 'try', 'invalidate', 'movement', 'ignorant']","[('simple', 'JJ'), ('reminder', 'NN'), ('black', 'JJ'), ('lives', 'VBZ'), ('matter', 'JJ'), ('movement', 'NN'), ('undermine', 'NN'), ('others', 'NNS'), ('incredibly', 'RB'), ('needed', 'VBD'), ('say', 'VBP'), ('otherwise', 'RB'), ('try', 'JJ'), ('invalidate', 'NN'), ('movement', 'NN'), ('ignorant', 'NN')]", simple reminder black live matter movement undermine others incredibly need say otherwise try invalidate movement ignorant,0.7167062
9,2020-05-23,"@GretaMurphy16 @ErinNanasi @KassandraSeven @E_c_h_o @SwedJewFish @ElPiiiiit @SallyAlbright @cmradari @IncredibleTri @KHiveQueenBee @Stupid_Berns @biden_brigade @kyle_teamjoe @Jaina_Solo_85 @marjikk @DailyLibber @karentotten @ahumorlessfem @hoakehrler Nope, just a third--comprised of #progressives,  #independents, #greens, #libertarians, #PeoplesParty, #WorkersUnited, #MeToo, #BlackLivesMatter, and everyone else fed up with corrupt business as usual. No more splintering/division tactics.",nope thirdcomprised everyone else fed corrupt business usual splinteringdivision tactics ,1,en,"['nope', 'thirdcomprised', 'everyone', 'else', 'fed', 'corrupt', 'business', 'usual', 'splinteringdivision', 'tactics']","[('nope', 'NN'), ('thirdcomprised', 'VBD'), ('everyone', 'NN'), ('else', 'RB'), ('fed', 'VBN'), ('corrupt', 'JJ'), ('business', 'NN'), ('usual', 'JJ'), ('splinteringdivision', 'NN'), ('tactics', 'NNS')]", nope thirdcomprised everyone else feed corrupt business usual splinteringdivision tactic,0.35958827
