,Unnamed: 0,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
0,0,2020-05-23,@_SJPeace_ Honest Police would want this punk cop off the force #BlueLivesMatter,honest police would want punk cop force ,1,en,"['honest', 'police', 'would', 'want', 'punk', 'cop', 'force']","[('honest', 'JJS'), ('police', 'NNS'), ('would', 'MD'), ('want', 'VB'), ('punk', 'NN'), ('cop', 'NN'), ('force', 'NN')]", honest police would want punk cop force,0.34710902
1,1,2020-05-23,@jconstance61 @gryking This thug shouldn’t have resisted arrest #BlueLivesMatter 👮‍♂️💙,thug shouldn’t resisted arrest ,1,en,"['thug', 'resisted', 'arrest']","[('thug', 'NN'), ('resisted', 'VBD'), ('arrest', 'NN')]", thug resist arrest,0.35223705
2,2,2020-05-23,"So, to be clear apparently somewhere in the constitution, or one of its amendments, it addresses howpeople have no responsibility to society &amp; have the right to infect others? So much for #BlueLivesMatter #SupportOurTroops &amp; being pro-life. #GOPHypocrisy #RepublicansAreKillingUs https://t.co/LFRuKKHloH",clear apparently somewhere constitution one amendments addresses howpeople responsibility society amp right infect others much amp prolife ,1,en,"['clear', 'apparently', 'somewhere', 'constitution', 'one', 'amendments', 'addresses', 'howpeople', 'responsibility', 'society', 'amp', 'right', 'infect', 'others', 'much', 'amp', 'prolife']","[('clear', 'JJ'), ('apparently', 'RB'), ('somewhere', 'RB'), ('constitution', 'NN'), ('one', 'CD'), ('amendments', 'VBZ'), ('addresses', 'VBZ'), ('howpeople', 'JJ'), ('responsibility', 'NN'), ('society', 'NN'), ('amp', 'NN'), ('right', 'RB'), ('infect', 'JJ'), ('others', 'NNS'), ('much', 'JJ'), ('amp', 'IN'), ('prolife', 'NN')]", clear apparently somewhere constitution one amendments address howpeople responsibility society amp right infect others much amp prolife,0.40325466
3,3,2020-05-23,"@cromgood @KHiveQueenBee There goes all the #BlueLivesMatter shit, right out the Karen window.",goes shit right karen window ,1,en,"['goes', 'shit', 'right', 'karen', 'window']","[('goes', 'VBZ'), ('shit', 'RB'), ('right', 'JJ'), ('karen', 'NNS'), ('window', 'VBP')]", go shit right karen window,0.9285752
4,4,2020-05-23,"Heroes work at every police station, fire station, hospital, medical center.  Thank you for all you do every day.  #thankyouforyourservice #thankyou #bluelivesmatter #redlivesmatter #alllifeisprecious… https://t.co/DirPXaZRMs",heroes work every police station fire station hospital medical center thank every day ,1,en,"['heroes', 'work', 'every', 'police', 'station', 'fire', 'station', 'hospital', 'medical', 'center', 'thank', 'every', 'day']","[('heroes', 'NNS'), ('work', 'VBP'), ('every', 'DT'), ('police', 'NN'), ('station', 'NN'), ('fire', 'NN'), ('station', 'NN'), ('hospital', 'NN'), ('medical', 'JJ'), ('center', 'NN'), ('thank', 'NN'), ('every', 'DT'), ('day', 'NN')]", hero work every police station fire station hospital medical center thank every day,0.107924975
5,5,2020-05-23,"VIDEO: Suicidal Suspect Fatally Shot After Rushing Officers With Machete https://t.co/FZmz8Ph4L1

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",video suicidal suspect fatally shot rushing officers machete follow ,1,en,"['video', 'suicidal', 'suspect', 'fatally', 'shot', 'rushing', 'officers', 'machete', 'follow']","[('video', 'NN'), ('suicidal', 'NN'), ('suspect', 'VBP'), ('fatally', 'RB'), ('shot', 'JJ'), ('rushing', 'VBG'), ('officers', 'NNS'), ('machete', 'VBP'), ('follow', 'VB')]", video suicidal suspect fatally shot rush officer machete follow,0.6364068
6,6,2020-05-23,"The truth is funny 😁 

#leader 
#funny #laugh #BlueLivesMatter 
#ChicagoPD 
#Livepd #LivePDNation 
#LivePD #LivePDNation 
@thinblueliner 
  @LivePdFans @bluelinenation   @NationalSheriff @NatPoliceAssoc  @LivePdBlueLine @UrgentNews911 https://t.co/8SW60edKE3",truth funny ,1,en,"['truth', 'funny']","[('truth', 'NN'), ('funny', 'NN')]", truth funny,0.05747623
7,7,2020-05-23,"Did you ever see joebiden chilling with shabbaranks ?

🤔🤔🤔🤔🤔🤔🤔🤔🤔

Follow my back up at sofunnything
Hot fire incoming
.
.
.
.
.
#sheriff #cop #lawenforcement  #cops #pewpew #backtheblue #bluelivesmatter #k9 #police… https://t.co/FOqc6HZtbI",ever see joebiden chilling shabbaranks follow back sofunnything hot fire incoming ,1,en,"['ever', 'see', 'joebiden', 'chilling', 'shabbaranks', 'follow', 'back', 'sofunnything', 'hot', 'fire', 'incoming']","[('ever', 'RB'), ('see', 'VB'), ('joebiden', 'JJ'), ('chilling', 'VBG'), ('shabbaranks', 'NNS'), ('follow', 'VBP'), ('back', 'RB'), ('sofunnything', 'VBG'), ('hot', 'JJ'), ('fire', 'NN'), ('incoming', 'NN')]", ever see joebiden chill shabbaranks follow back sofunnything hot fire incoming,0.18347144
8,9,2020-05-23,@MichelleSteelCA @VoiceofOC @ocregister When will you require our cops/sheriff’s to wear masks?  Are we expected to pay for these folks when they get sick?  What about taxpayers who don’t want to pay for this?  What about #BlueLivesMatter? #MaskItOrCasket https://t.co/XTMTi9KSeo,require copssheriff’s wear masks expected pay folks get sick taxpayers don’t want pay ,1,en,"['require', 'copssheriff', 'wear', 'masks', 'expected', 'pay', 'folks', 'get', 'sick', 'taxpayers', 'want', 'pay']","[('require', 'NN'), ('copssheriff', 'NN'), ('wear', 'JJ'), ('masks', 'NNS'), ('expected', 'VBN'), ('pay', 'NN'), ('folks', 'NNS'), ('get', 'VBP'), ('sick', 'JJ'), ('taxpayers', 'NNS'), ('want', 'VBP'), ('pay', 'NN')]", require copssheriff wear mask expect pay folk get sick taxpayer want pay,0.29339707
9,10,2020-05-23,"Mayor With Numerous Knife Wounds Claims He 'Fell' On Knife https://t.co/xotPny9Nbm

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",mayor numerous knife wounds claims fell knife follow ,1,en,"['mayor', 'numerous', 'knife', 'wounds', 'claims', 'fell', 'knife', 'follow']","[('mayor', 'NN'), ('numerous', 'JJ'), ('knife', 'NN'), ('wounds', 'NNS'), ('claims', 'NNS'), ('fell', 'VBD'), ('knife', 'NNS'), ('follow', 'VB')]", mayor numerous knife wound claim fell knife follow,0.4096011
